Timestamp,Crop,Growth_Stage,Light_Intensity,Water_Level,Temperature,Humidity,CO2_Level,Nutrient_Level,pH,Soil_Moisture,Crop_Yield_Estimation
2020-01-01 02:00:00,Saffron,Bloom,372.74122572112555,0.01640849676629779,22.119888537863165,37.22969848552544,674.6171253334384,0.5748494015701695,6.210915485423876,29.410746576243906,122.70347456399513
2020-01-01 03:00:00,Saffron,Bloom,605.2792286133089,0.07387107477454204,13.838620106457917,57.93093885619772,399.4893365835639,0.8080853461910087,6.835986569077629,19.793795709179562,157.85157522309822
2020-01-01 11:00:00,Saffron,Vegetative,563.4896793125412,0.02518562117031069,18.934570960341958,54.63845065035444,608.452556674885,0.5566138994542495,6.608920832535106,37.67096434589719,327.3549884239892
2020-01-01 21:00:00,Saffron,Vegetative,481.60250028211874,0.03642352480036637,19.353648780631346,69.59741719484168,543.3454052044501,0.6825858698666952,6.928120950064654,15.919354046092787,153.08285636006582
2020-01-02 01:00:00,Saffron,Cotyledon,305.4889967856051,0.0596715977133041,16.24285526393869,43.868404912670776,553.5724112512124,1.3756116030294403,6.039317325615134,13.769242969916464,311.58877464015234
2020-01-02 08:00:00,Saffron,Vegetative,368.70779880216,0.0335385582857637,21.897446074277966,39.58164897459431,613.519076055648,0.3138269051943208,6.594941550546817,27.689296591590207,303.28886586856026
2020-01-02 11:00:00,Saffron,Cotyledon,501.36706619099346,0.09886114970665102,11.387807959323768,55.68723958823293,306.3320243818588,0.7368287403784025,6.008186787800025,34.88411132542133,88.36520083503504
2020-01-02 12:00:00,Saffron,Vegetative,493.6395627992981,0.018335942082089638,23.39994826558105,60.99662572289227,638.121411492577,0.37246642662521773,6.149506043574618,36.22732010312404,306.10228917558294
2020-01-02 13:00:00,Saffron,Cotyledon,607.2069572478466,0.07073144434632558,20.893446623058736,42.76647284317123,383.7622998362652,1.023036828447622,6.035354486214569,17.599628214034713,321.98471968837504
2020-01-02 19:00:00,Saffron,Cotyledon,775.1781887442448,0.0666990886411421,14.837076517004256,65.93321774963421,429.4243068275442,1.2487898420106873,6.600765487077627,35.18601598383005,230.74333847653034
